area,day,label
서울,2023-01-26,12
서울,2023-01-27,12
서울,2023-01-28,12
서울,2023-01-29,9
서울,2023-01-30,9
서울,2023-01-31,15
서울,2023-02-01,3
서울,2023-02-02,3
서울,2023-02-03,3
서울,2023-02-04,3
서울,2023-02-05,3
서울,2023-02-06,3
서울,2023-02-07,5
서울,2023-02-08,3
서울,2023-02-09,3
서울,2023-02-10,3
서울,2023-02-11,3
서울,2023-02-12,5
서울,2023-02-13,5
서울,2023-02-14,3
서울,2023-02-15,3
서울,2023-02-16,3
서울,2023-02-17,3
서울,2023-02-18,5
서울,2023-02-19,3
서울,2023-02-20,3
서울,2023-02-21,3
서울,2023-02-22,3
서울,2023-02-23,3
서울,2023-02-24,3
서울,2023-02-25,3
서울,2023-02-26,3
서울,2023-02-27,5
서울,2023-02-28,5
서울,2023-03-01,5
서울,2023-03-02,3
서울,2023-03-03,5
서울,2023-03-04,5
서울,2023-03-05,5
서울,2023-03-06,14
서울,2023-03-07,14
서울,2023-03-08,14
서울,2023-03-09,14
서울,2023-03-10,4
서울,2023-03-11,4
서울,2023-03-12,5
서울,2023-03-13,3
서울,2023-03-14,14
서울,2023-03-15,5
서울,2023-03-16,5
서울,2023-03-17,5
서울,2023-03-18,5
서울,2023-03-19,5
서울,2023-03-20,14
서울,2023-03-21,4
서울,2023-03-22,4
서울,2023-03-23,4
서울,2023-03-24,14
서울,2023-03-25,14
서울,2023-03-26,14
서울,2023-03-27,5
서울,2023-03-28,14
서울,2023-03-29,14
서울,2023-03-30,4
서울,2023-03-31,4
서울,2023-04-01,4
서울,2023-04-02,11
서울,2023-04-03,11
서울,2023-04-04,4
서울,2023-04-05,14
서울,2023-04-06,5
서울,2023-04-07,5
서울,2023-04-08,5
서울,2023-04-09,14
서울,2023-04-10,14
서울,2023-04-11,14
서울,2023-04-12,14
서울,2023-04-13,14
서울,2023-04-14,4
서울,2023-04-15,4
서울,2023-04-16,14
서울,2023-04-17,14
서울,2023-04-18,4
서울,2023-04-19,11
서울,2023-04-20,4
서울,2023-04-21,4
서울,2023-04-22,4
서울,2023-04-23,4
서울,2023-04-24,4
서울,2023-04-25,14
서울,2023-04-26,14
서울,2023-04-27,14
서울,2023-04-28,4
서울,2023-04-29,14
서울,2023-04-30,14
서울,2023-05-01,4
서울,2023-05-02,4
서울,2023-05-03,11
서울,2023-05-04,11
서울,2023-05-05,11
서울,2023-05-06,14
서울,2023-05-07,4
서울,2023-05-08,4
서울,2023-05-09,4
서울,2023-05-10,11
서울,2023-05-11,11
서울,2023-05-12,11
서울,2023-05-13,11
서울,2023-05-14,11
서울,2023-05-15,11
서울,2023-05-16,11
서울,2023-05-17,11
서울,2023-05-18,11
서울,2023-05-19,11
서울,2023-05-20,11
서울,2023-05-21,4
서울,2023-05-22,11
서울,2023-05-23,11
서울,2023-05-24,11
서울,2023-05-25,11
서울,2023-05-26,11
서울,2023-05-27,11
서울,2023-05-28,11
서울,2023-05-29,11
서울,2023-05-30,7
서울,2023-05-31,11
서울,2023-06-01,11
서울,2023-06-02,7
서울,2023-06-03,7
서울,2023-06-04,7
서울,2023-06-05,7
서울,2023-06-06,7
서울,2023-06-07,7
서울,2023-06-08,7
서울,2023-06-09,7
서울,2023-06-10,7
서울,2023-06-11,7
서울,2023-06-12,7
서울,2023-06-13,7
수원,2022-06-15,7
수원,2022-06-16,7
수원,2022-06-17,7
수원,2022-06-18,7
수원,2022-06-19,7
수원,2022-06-20,7
수원,2022-06-21,7
수원,2022-06-22,7
수원,2022-06-23,7
수원,2022-06-24,7
수원,2022-06-25,0
